article_id,url,headline,section,topic_tags,published_at,author_id,word_count,language,sponsor_tag
1221,https://cascadetribune.com/business/2024/05/inside-the-mutual-aid-hardware-store-reshaping-east-portland-1221,Inside the mutual-aid hardware store reshaping East Portland,business,"[""downtown"", ""layoffs"", ""openings_closings""]",2024-05-28T19:12:23,17,607,en,
1222,https://cascadetribune.com/transportation/2024/05/trimet-extends-the-base-fare-to-2-95-1222,TriMet extends the base fare to $2.95,transportation,"[""bridge_replacement"", ""city_council"", ""downtown""]",2024-05-28T12:35:04,13,820,en,
1223,https://cascadetribune.com/opinion/2024/05/portland-needs-a-climate-plan-with-teeth-1223,Portland needs a climate plan with teeth,opinion,"[""fentanyl_crisis"", ""homelessness"", ""measure_110""]",2024-05-28T07:43:24,15,848,en,
1224,https://cascadetribune.com/transportation/2024/05/burnside-bridge-replacement-moves-to-environmental-review-1224,Burnside Bridge replacement moves to environmental review,transportation,"[""city_council"", ""freight""]",2024-05-28T15:23:36,5,781,en,
1225,https://cascadetribune.com/transportation/2024/05/pedestrian-deaths-on-powell-boulevard-up-as-fall-budget-hear-1225,Pedestrian deaths on Powell Boulevard up as fall budget hearings,transportation,"[""bridge_replacement"", ""parking_reform""]",2024-05-28T13:56:49,5,925,en,
1226,https://cascadetribune.com/culture/2024/05/lael-neale-returns-to-aladdin-theater-with-a-career-spanning-1226,Lael Neale returns to Aladdin Theater with a career-spanning retrospective,culture,"[""museums"", ""performing_arts""]",2024-05-28T15:14:27,6,869,en,Reed College Press
1227,https://cascadetribune.com/city_hall/2024/05/mayor-s-office-clashes-with-neighborhood-associations-over-t-1227,Mayor's office clashes with neighborhood associations over the short-term rental fee hike,city_hall,"[""ballot_measures"", ""city_audit"", ""ethics_commission"", ""washington_county""]",2024-05-28T08:02:01,2,988,en,
1228,https://cascadetribune.com/culture/2024/05/portland-art-museum-announces-a-strategic-plan-focused-on-re-1228,Portland Art Museum announces a strategic plan focused on regional artists,culture,"[""indie_music"", ""k12_arts"", ""museums"", ""performing_arts""]",2024-05-29T08:30:06,6,831,en,
1229,https://cascadetribune.com/opinion/2024/05/what-we-re-getting-wrong-about-measure-110-1229,What we're getting wrong about Measure 110,opinion,"[""homelessness"", ""police_oversight"", ""ranked_choice_voting"", ""rent_stabilization""]",2024-05-29T16:49:27,8,914,en,
1230,https://cascadetribune.com/city_hall/2024/05/city-auditor-fast-tracks-the-short-term-rental-fee-hike-amid-1230,City Auditor fast-tracks the short-term rental fee hike amid a state preemption fight,city_hall,"[""multnomah_county"", ""ranked_choice_voting"", ""washington_county""]",2024-05-29T15:30:44,2,731,en,
1231,https://cascadetribune.com/housing/2024/05/why-foster-powell-is-seeing-more-vacant-storefronts-than-ten-1231,Why Foster-Powell is seeing more vacant storefronts than tenants,housing,"[""housing_authority"", ""tenant_protections"", ""zoning""]",2024-05-29T17:27:42,18,899,en,
1232,https://cascadetribune.com/business/2024/05/small-business-openings-returns-as-a-state-preemption-fight-1232,Small business openings returns as a state preemption fight,business,"[""downtown"", ""homelessness"", ""openings_closings"", ""small_business""]",2024-05-29T15:29:52,20,717,en,
1233,https://cascadetribune.com/transportation/2024/05/restructures-could-force-a-new-round-of-route-changes-in-the-1233,Restructures could force a new round of route changes in the Pearl,transportation,"[""ev_charging"", ""freight"", ""max_light_rail""]",2024-05-29T15:12:06,5,987,en,
1234,https://cascadetribune.com/culture/2024/05/inside-st-johns-s-indie-literary-scene-1234,Inside St Johns's indie literary scene,culture,"[""k12_arts"", ""lit_scene""]",2024-05-29T12:53:54,14,792,en,
1235,https://cascadetribune.com/food_drink/2024/05/the-two-stop-bar-crawl-taking-over-st-johns-1235,The two-stop bar crawl taking over St Johns,food_drink,"[""craft_beer"", ""new_restaurants""]",2024-05-29T16:27:19,19,786,en,
1236,https://cascadetribune.com/opinion/2024/05/why-the-camping-ordinance-won-t-fix-what-it-was-built-for-1236,Why the camping ordinance won't fix what it was built for,opinion,"[""police_oversight"", ""public_safety""]",2024-05-29T19:08:33,8,1193,en,
1237,https://cascadetribune.com/city_hall/2024/05/multnomah-county-chair-clashes-with-the-state-over-the-clima-1237,Multnomah County Chair clashes with the state over the climate resilience plan,city_hall,"[""city_council"", ""ppb_reform"", ""public_safety""]",2024-05-29T15:53:53,10,1641,en,
1238,https://cascadetribune.com/city_hall/2024/05/city-attorney-s-office-clashes-with-the-police-union-over-th-1238,City Attorney's office clashes with the police union over the parking reform package,city_hall,"[""mayors_office"", ""police_oversight"", ""public_safety""]",2024-05-30T11:25:49,10,1551,en,Oregon Health Authority
1239,https://cascadetribune.com/culture/2024/05/why-powell-s-books-is-rethinking-its-membership-model-1239,Why Powell's Books is rethinking its membership model,culture,"[""k12_arts"", ""museums"", ""performing_arts""]",2024-05-30T07:59:23,6,737,en,
1240,https://cascadetribune.com/climate/2024/05/why-multnomah-county-is-losing-snowpack-two-weeks-earlier-ea-1240,Why Multnomah County is losing snowpack two weeks earlier each decade,climate,"[""climate_resilience"", ""fire_season""]",2024-05-30T17:43:35,16,978,en,
1241,https://cascadetribune.com/city_hall/2024/05/commissioner-rubio-signs-off-on-the-camping-ordinance-amid-r-1241,Commissioner Rubio signs off on the camping ordinance amid rising service costs,city_hall,"[""ethics_commission"", ""mayors_office"", ""oregon_legislature"", ""public_records""]",2024-05-30T15:54:05,21,944,en,
1242,https://cascadetribune.com/housing/2024/05/why-st-johns-is-seeing-a-surge-in-eviction-filings-1242,Why St Johns is seeing a surge in eviction filings,housing,"[""homelessness"", ""rent_stabilization""]",2024-05-30T06:16:44,18,1223,en,
1243,https://cascadetribune.com/food_drink/2024/05/le-pigeon-closes-in-sellwood-after-rising-service-costs-1243,Le Pigeon closes in Sellwood after rising service costs,food_drink,"[""craft_beer"", ""farmers_markets""]",2024-05-30T19:56:04,19,855,en,
1244,https://cascadetribune.com/transportation/2024/05/cuts-could-force-a-new-round-of-route-changes-in-the-eastsid-1244,Cuts could force a new round of route changes in the eastside,transportation,"[""downtown"", ""max_light_rail"", ""vision_zero""]",2024-05-30T08:04:23,13,883,en,
1245,https://cascadetribune.com/culture/2024/05/why-literary-arts-is-running-a-sliding-scale-ticket-pilot-1245,Why Literary Arts is running a sliding-scale ticket pilot,culture,"[""indie_music"", ""lit_scene"", ""museums"", ""performing_arts""]",2024-05-30T08:47:44,17,806,en,
1246,https://cascadetribune.com/business/2024/05/daimler-trucks-na-cuts-90-jobs-as-fall-budget-hearings-1246,Daimler Trucks NA cuts 90 jobs as fall budget hearings,business,"[""downtown"", ""homelessness"", ""layoffs"", ""small_business""]",2024-05-30T07:28:55,13,683,en,
1247,https://cascadetribune.com/opinion/2024/05/what-we-re-getting-wrong-about-school-closures-1247,What we're getting wrong about school closures,opinion,"[""homelessness"", ""public_safety"", ""rent_stabilization""]",2024-05-30T09:39:20,5,1254,en,
1248,https://cascadetribune.com/climate/2024/05/salmon-counts-on-the-columbia-tell-a-mixed-recovery-story-1248,Salmon counts on the Columbia tell a mixed recovery story,climate,"[""columbia_river"", ""fire_season"", ""oregon_climate_action_plan""]",2024-05-31T13:43:38,3,1234,en,
1249,https://cascadetribune.com/housing/2024/05/joint-office-of-homeless-services-reports-first-quarter-unde-1249,Joint Office of Homeless Services reports first quarter under new leadership,housing,"[""homelessness"", ""multnomah_county"", ""tenant_protections"", ""zoning""]",2024-05-31T09:10:47,10,1050,en,
1250,https://cascadetribune.com/housing/2024/05/rent-in-foster-powell-a-five-year-squeeze-finally-easing-1250,Rent in Foster-Powell: a five-year squeeze finally easing,housing,"[""city_council"", ""joint_office""]",2024-05-31T07:30:37,4,848,en,
1251,https://cascadetribune.com/culture/2024/05/soul-d-out-brings-a-rare-karl-blau-set-to-east-portland-1251,Soul'd Out brings a rare Karl Blau set to East Portland,culture,"[""k12_arts"", ""lit_scene"", ""museums""]",2024-05-31T10:09:55,6,618,en,
1252,https://cascadetribune.com/culture/2024/05/karl-blau-returns-to-the-crystal-ballroom-with-a-four-night--1252,Karl Blau returns to the Crystal Ballroom with a four-night residency,culture,"[""k12_arts"", ""lit_scene"", ""museums"", ""performing_arts""]",2024-05-31T08:36:54,19,657,en,
1253,https://cascadetribune.com/opinion/2024/05/why-the-camping-ordinance-won-t-fix-what-it-was-built-for-1253,Why the camping ordinance won't fix what it was built for,opinion,"[""homelessness"", ""ranked_choice_voting"", ""rent_stabilization"", ""trimet""]",2024-05-31T20:03:07,22,1152,en,
1254,https://cascadetribune.com/housing/2024/05/rent-in-cully-the-asking-rent-gap-has-tripled-1254,Rent in Cully: the asking-rent gap has tripled,housing,"[""encampments"", ""housing_authority"", ""joint_office"", ""supportive_housing""]",2024-05-31T09:29:05,12,1274,en,
1255,https://cascadetribune.com/climate/2024/05/climate-scientists-revise-salmon-return-projections-after-an-1255,Climate scientists revise salmon return projections after an audit,climate,"[""climate_resilience"", ""salmon""]",2024-05-31T18:06:19,8,827,en,
1256,https://cascadetribune.com/housing/2024/05/eviction-filings-climb-in-the-eastside-as-a-state-preemption-1256,Eviction filings climb in the eastside as a state preemption fight,housing,"[""encampments"", ""supportive_housing"", ""zoning""]",2024-05-31T17:38:25,18,1251,en,
1257,https://cascadetribune.com/city_hall/2024/05/commissioner-rubio-pushes-back-on-the-downtown-revitalizatio-1257,Commissioner Rubio pushes back on the downtown revitalization plan amid fall budget hearings,city_hall,"[""police_oversight"", ""ppb_reform""]",2024-05-31T06:26:53,4,1531,en,
1258,https://cascadetribune.com/opinion/2024/05/school-closures-a-reckoning-1258,School closures: a reckoning,opinion,"[""homelessness"", ""measure_110"", ""public_safety""]",2024-05-31T12:52:17,4,984,en,
1259,https://cascadetribune.com/climate/2024/06/why-oregon-is-drying-earlier-in-summer-1259,Why Oregon is drying earlier in summer,climate,"[""climate_resilience"", ""decarbonization"", ""oregon_legislature""]",2024-06-01T06:46:58,16,1403,en,
1260,https://cascadetribune.com/climate/2024/06/oregon-s-diesel-idling-reduction-rule-hits-a-court-challenge-1260,Oregon's diesel idling reduction rule hits a court challenge,climate,"[""gas_phaseout"", ""oregon_climate_action_plan"", ""oregon_legislature""]",2024-06-01T19:20:16,1,704,en,
1261,https://cascadetribune.com/housing/2024/06/the-camping-enforcement-ordinance-clears-another-hurdle-at-m-1261,The camping enforcement ordinance clears another hurdle at Multnomah County,housing,"[""homelessness"", ""multnomah_county""]",2024-06-01T08:20:29,20,1592,en,
1262,https://cascadetribune.com/transportation/2024/06/trimet-cuts-weekend-max-service-1262,TriMet cuts weekend MAX service,transportation,"[""city_council"", ""ev_charging"", ""freight""]",2024-06-02T16:07:36,5,632,en,
1263,https://cascadetribune.com/city_hall/2024/06/multnomah-county-tightens-rules-on-homelessness-contracting--1263,Multnomah County tightens rules on homelessness contracting after a damning state report,city_hall,"[""clackamas_county"", ""multnomah_county"", ""public_safety""]",2024-06-02T18:50:08,7,1652,en,
1264,https://cascadetribune.com/city_hall/2024/06/multnomah-county-chair-questions-the-homelessness-response-b-1264,Multnomah County Chair questions the homelessness response budget amid an audit,city_hall,"[""ethics_commission"", ""public_safety""]",2024-06-02T19:30:49,7,1082,en,
1265,https://cascadetribune.com/city_hall/2024/06/audit-finds-missing-payroll-records-in-bureau-of-development-1265,Audit finds missing payroll records in Bureau of Development Services,city_hall,"[""mayors_office"", ""public_safety""]",2024-06-03T16:08:17,12,816,en,
1266,https://cascadetribune.com/culture/2024/06/the-portland-japanese-garden-announces-a-30-expansion-of-k-1-1266,The Portland Japanese Garden announces a 30% expansion of K-12 programming,culture,"[""indie_music"", ""k12_arts"", ""performing_arts""]",2024-06-03T11:57:22,14,854,en,
1267,https://cascadetribune.com/city_hall/2024/06/commissioner-rubio-signs-off-on-the-public-records-request-b-1267,Commissioner Rubio signs off on the public records request backlog amid an audit,city_hall,"[""charter_reform"", ""mayors_office"", ""ppb_reform"", ""public_safety""]",2024-06-03T11:07:29,2,898,en,
1268,https://cascadetribune.com/city_hall/2024/06/portland-s-the-climate-resilience-plan-faces-a-county-stando-1268,Portland's the climate resilience plan faces a county standoff,city_hall,"[""ethics_commission"", ""ppb_reform"", ""ranked_choice_voting""]",2024-06-03T15:55:19,1,1700,en,
1269,https://cascadetribune.com/culture/2024/06/stephen-malkmus-returns-to-mississippi-studios-with-a-stripp-1269,Stephen Malkmus returns to Mississippi Studios with a stripped-down new record,culture,"[""indie_music"", ""k12_arts"", ""lit_scene"", ""performing_arts""]",2024-06-03T20:45:37,6,925,en,
1270,https://cascadetribune.com/climate/2024/06/why-eastern-oregon-is-experiencing-more-90-degree-days-each--1270,Why Eastern Oregon is experiencing more 90-degree days each year,climate,"[""decarbonization"", ""gas_phaseout"", ""heat_dome""]",2024-06-03T10:10:50,3,1336,en,
1271,https://cascadetribune.com/city_hall/2024/06/city-auditor-questions-the-climate-resilience-plan-amid-a-pu-1271,City Auditor questions the climate resilience plan amid a public records release,city_hall,"[""ballot_measures"", ""charter_reform"", ""multnomah_county"", ""public_records""]",2024-06-03T12:09:17,7,1444,en,
1272,https://cascadetribune.com/climate/2024/06/heat-wave-breaks-four-records-as-forecast-tightens-1272,Heat wave breaks four records as forecast tightens,climate,"[""atmospheric_river"", ""decarbonization"", ""oregon_climate_action_plan""]",2024-06-03T20:08:00,3,1406,en,
1273,https://cascadetribune.com/food_drink/2024/06/le-pigeon-closes-in-east-portland-after-a-state-preemption-f-1273,Le Pigeon closes in East Portland after a state preemption fight,food_drink,"[""craft_beer"", ""farmers_markets"", ""openings_closings""]",2024-06-03T07:14:12,19,668,en,
1274,https://cascadetribune.com/culture/2024/06/the-decemberists-returns-to-aladdin-theater-with-a-four-nigh-1274,The Decemberists returns to Aladdin Theater with a four-night residency,culture,"[""k12_arts"", ""museums"", ""performing_arts""]",2024-06-03T09:24:57,6,867,en,
1275,https://cascadetribune.com/city_hall/2024/06/records-show-officials-knew-about-the-leak-in-march-at-portl-1275,Records show officials knew about the leak in March at Portland Bureau of Transportation,city_hall,"[""police_oversight"", ""washington_county""]",2024-06-04T09:49:04,22,1562,en,
1276,https://cascadetribune.com/culture/2024/06/local-experimental-cinema-five-works-to-watch-1276,Local experimental cinema: five works to watch,culture,"[""k12_arts"", ""performing_arts""]",2024-06-04T11:45:27,14,810,en,
1277,https://cascadetribune.com/transportation/2024/06/the-lloyd-cycle-track-clears-design-review-1277,The Lloyd cycle track clears design review,transportation,"[""downtown"", ""ev_charging""]",2024-06-04T15:57:44,10,757,en,
1278,https://cascadetribune.com/housing/2024/06/joint-office-of-homeless-services-shifts-14-million-to-outre-1278,Joint Office of Homeless Services shifts $14 million to outreach contracts,housing,"[""evictions"", ""multnomah_county"", ""supportive_housing""]",2024-06-04T16:17:00,12,1136,en,
1279,https://cascadetribune.com/opinion/2024/06/school-closures-a-reckoning-1279,School closures: a reckoning,opinion,"[""decarbonization"", ""fentanyl_crisis"", ""ranked_choice_voting""]",2024-06-04T16:50:52,1,1057,en,
1280,https://cascadetribune.com/housing/2024/06/joint-office-of-homeless-services-reports-first-quarter-unde-1280,Joint Office of Homeless Services reports first quarter under new leadership,housing,"[""homelessness"", ""supportive_housing"", ""zoning""]",2024-06-04T08:47:45,12,1379,en,
1281,https://cascadetribune.com/opinion/2024/06/column-measure-110-s-repeal-didn-t-fix-what-it-was-meant-to--1281,Column: Measure 110's repeal didn't fix what it was meant to fix,opinion,"[""homelessness"", ""trimet""]",2024-06-04T17:38:56,15,1113,en,
1282,https://cascadetribune.com/culture/2024/06/inside-hawthorne-s-indie-literary-scene-1282,Inside Hawthorne's indie literary scene,culture,"[""indie_music"", ""k12_arts"", ""lit_scene""]",2024-06-04T15:23:30,14,790,en,
1283,https://cascadetribune.com/food_drink/2024/06/beast-closes-in-st-johns-after-growing-council-split-1283,Beast closes in St Johns after growing council split,food_drink,"[""coffee_culture"", ""craft_beer"", ""farmers_markets""]",2024-06-04T16:17:04,6,614,en,
1284,https://cascadetribune.com/transportation/2024/06/the-tilikum-spine-improvements-clears-the-first-round-of-con-1284,The Tilikum spine improvements clears the first round of construction,transportation,"[""bike_infrastructure"", ""freight"", ""parking_reform""]",2024-06-04T13:03:15,20,639,en,
1285,https://cascadetribune.com/transportation/2024/06/trimet-extends-the-fx-bus-rollout-1285,TriMet extends the FX bus rollout,transportation,"[""bike_infrastructure"", ""bridge_replacement""]",2024-06-05T19:54:37,5,974,en,
1286,https://cascadetribune.com/city_hall/2024/06/city-council-delays-vote-on-the-lobbying-disclosure-rule-1286,City Council delays vote on the lobbying disclosure rule,city_hall,"[""mayors_office"", ""police_oversight"", ""ppb_reform""]",2024-06-05T08:56:57,7,1334,en,
1287,https://cascadetribune.com/housing/2024/06/inside-the-200-unit-affordable-project-planned-for-north-por-1287,Inside the 200-unit affordable project planned for North Portland,housing,"[""homelessness"", ""supportive_housing""]",2024-06-05T06:33:39,4,1344,en,
1288,https://cascadetribune.com/housing/2024/06/supportive-housing-waitlist-report-flags-gap-in-outer-southw-1288,Supportive housing waitlist report flags gap in outer Southwest,housing,"[""city_council"", ""multnomah_county"", ""zoning""]",2024-06-05T13:00:16,4,1484,en,
1289,https://cascadetribune.com/food_drink/2024/06/why-guatemalan-antigua-coffee-is-the-cup-of-the-season-1289,Why Guatemalan Antigua coffee is the cup of the season,food_drink,"[""craft_beer"", ""wine_country""]",2024-06-05T15:17:00,6,727,en,
1290,https://cascadetribune.com/transportation/2024/06/vision-zero-report-flags-speeding-tickets-are-down-despite-e-1290,Vision Zero report flags speeding tickets are down despite enforcement push,transportation,"[""trimet"", ""vision_zero""]",2024-06-05T15:50:22,5,593,en,
1291,https://cascadetribune.com/climate/2024/06/salmon-counts-on-the-columbia-tell-habitat-work-is-finally-s-1291,Salmon counts on the Columbia tell habitat work is finally showing up,climate,"[""atmospheric_river"", ""gas_phaseout"", ""heat_dome""]",2024-06-05T10:54:30,3,867,en,
1292,https://cascadetribune.com/transportation/2024/06/the-tilikum-spine-improvements-clears-design-review-1292,The Tilikum spine improvements clears design review,transportation,"[""bike_infrastructure"", ""ev_charging""]",2024-06-05T10:09:18,21,923,en,
1293,https://cascadetribune.com/housing/2024/06/permitting-backlog-report-flags-gap-in-northeast-portland-1293,Permitting backlog report flags gap in Northeast Portland,housing,"[""adu"", ""encampments"", ""housing_authority"", ""joint_office""]",2024-06-06T17:29:50,12,1597,en,
1294,https://cascadetribune.com/business/2024/06/why-biotech-is-raising-wages-faster-than-the-metro-average-i-1294,Why biotech is raising wages faster than the metro average in Portland,business,"[""homelessness"", ""small_business""]",2024-06-06T07:42:34,20,588,en,
1295,https://cascadetribune.com/transportation/2024/06/the-lloyd-cycle-track-clears-a-key-council-vote-1295,The Lloyd cycle track clears a key council vote,transportation,"[""bridge_replacement"", ""city_council"", ""vision_zero""]",2024-06-06T17:49:57,5,678,en,
1296,https://cascadetribune.com/transportation/2024/06/pedestrian-deaths-on-82nd-avenue-up-as-court-ruling-1296,Pedestrian deaths on 82nd Avenue up as court ruling,transportation,"[""bridge_replacement"", ""downtown"", ""freight""]",2024-06-06T18:00:22,10,568,en,
1297,https://cascadetribune.com/climate/2024/06/atmospheric-river-dumps-more-rain-in-36-hours-than-september-1297,Atmospheric river dumps more rain in 36 hours than September averages on Portland metro,climate,"[""atmospheric_river"", ""climate_resilience""]",2024-06-06T16:16:38,16,910,en,
1298,https://cascadetribune.com/opinion/2024/06/measure-110-a-reckoning-1298,Measure 110: a reckoning,opinion,"[""rent_stabilization"", ""trimet""]",2024-06-06T19:16:30,8,1050,en,
1299,https://cascadetribune.com/transportation/2024/06/pedestrian-deaths-on-tv-highway-up-as-rising-service-costs-1299,Pedestrian deaths on TV Highway up as rising service costs,transportation,"[""bridge_replacement"", ""city_council""]",2024-06-06T12:55:15,13,1078,en,
1300,https://cascadetribune.com/climate/2024/06/wildfire-season-is-the-longest-of-the-decade-so-far-earlier--1300,Wildfire season is the longest of the decade so far earlier than expected,climate,"[""decarbonization"", ""oregon_climate_action_plan""]",2024-06-06T08:25:16,3,1246,en,
1301,https://cascadetribune.com/climate/2024/06/climate-scientists-revise-the-summer-outlook-after-rising-se-1301,Climate scientists revise the summer outlook after rising service costs,climate,"[""columbia_river"", ""decarbonization"", ""heat_dome""]",2024-06-06T14:41:13,16,1262,en,
1302,https://cascadetribune.com/business/2024/06/inside-the-mutual-aid-hardware-store-reshaping-northeast-por-1302,Inside the mutual-aid hardware store reshaping Northeast Portland,business,"[""downtown"", ""openings_closings"", ""public_safety""]",2024-06-06T16:23:28,13,816,en,
1303,https://cascadetribune.com/city_hall/2024/06/city-council-approves-the-camping-ordinance-1303,City Council approves the camping ordinance,city_hall,"[""public_records"", ""public_safety""]",2024-06-06T11:32:52,2,1152,en,
1304,https://cascadetribune.com/housing/2024/06/why-cully-is-seeing-rents-flatten-for-the-first-time-in-thre-1304,Why Cully is seeing rents flatten for the first time in three years,housing,"[""adu"", ""evictions"", ""joint_office""]",2024-06-06T11:53:18,22,1285,en,
1305,https://cascadetribune.com/city_hall/2024/06/records-show-officials-knew-about-the-leak-in-march-at-portl-1305,Records show officials knew about the leak in March at Portland Bureau of Emergency Management,city_hall,"[""city_audit"", ""city_council"", ""public_records"", ""washington_county""]",2024-06-06T16:12:56,22,918,en,
1306,https://cascadetribune.com/housing/2024/06/the-camping-enforcement-ordinance-clears-another-hurdle-at-t-1306,The camping enforcement ordinance clears another hurdle at the city auditor's review,housing,"[""homelessness"", ""joint_office"", ""supportive_housing""]",2024-06-06T19:01:25,21,704,en,
1307,https://cascadetribune.com/climate/2024/06/heat-wave-breaks-four-records-as-forecast-tightens-1307,Heat wave breaks four records as forecast tightens,climate,"[""decarbonization"", ""heat_dome""]",2024-06-07T20:16:24,9,1061,en,
1308,https://cascadetribune.com/business/2024/06/why-outdoor-apparel-is-consolidating-in-portland-1308,Why outdoor apparel is consolidating in Portland,business,"[""homelessness"", ""public_safety"", ""small_business""]",2024-06-07T10:52:23,20,800,en,
1309,https://cascadetribune.com/opinion/2024/06/why-ranked-choice-voting-needs-a-real-public-education-inves-1309,Why ranked-choice voting needs a real public-education investment,opinion,"[""public_safety"", ""rent_stabilization""]",2024-06-07T16:23:06,1,1141,en,
1310,https://cascadetribune.com/city_hall/2024/06/mayor-wheeler-s-office-clashes-with-the-county-over-the-home-1310,Mayor Wheeler's office clashes with the county over the homelessness response budget,city_hall,"[""ballot_measures"", ""mayors_office"", ""multnomah_county""]",2024-06-07T13:41:50,21,1065,en,
1311,https://cascadetribune.com/transportation/2024/06/hawthorne-bridge-replacement-hits-its-second-cost-overrun-1311,Hawthorne Bridge replacement hits its second cost overrun,transportation,"[""city_council"", ""downtown"", ""ev_charging""]",2024-06-07T10:31:00,13,1067,en,
1312,https://cascadetribune.com/business/2024/06/nike-cuts-120-jobs-as-court-ruling-1312,Nike cuts 120 jobs as court ruling,business,"[""homelessness"", ""openings_closings""]",2024-06-07T16:17:52,11,513,en,
1313,https://cascadetribune.com/culture/2024/06/the-decemberists-returns-to-the-crystal-ballroom-with-a-retu-1313,The Decemberists returns to the Crystal Ballroom with a return to chamber-pop form,culture,"[""indie_music"", ""lit_scene"", ""museums"", ""performing_arts""]",2024-06-07T06:33:56,6,820,en,
1314,https://cascadetribune.com/housing/2024/06/the-tenant-screening-reform-clears-another-hurdle-at-the-cit-1314,The tenant screening reform clears another hurdle at the city auditor's review,housing,"[""city_council"", ""encampments"", ""housing_authority"", ""rent_stabilization""]",2024-06-07T19:17:33,18,1532,en,
1315,https://cascadetribune.com/housing/2024/06/rent-in-hollywood-what-concessions-are-now-standard-1315,Rent in Hollywood: what concessions are now standard,housing,"[""adu"", ""city_council"", ""homelessness"", ""multnomah_county""]",2024-06-08T15:48:21,4,1122,en,
1316,https://cascadetribune.com/climate/2024/06/atmospheric-river-dumps-a-half-summer-s-rainfall-on-portland-1316,Atmospheric river dumps a half-summer's rainfall on Portland metro,climate,"[""columbia_river"", ""heat_dome"", ""oregon_legislature""]",2024-06-08T07:52:45,16,1360,en,
1317,https://cascadetribune.com/city_hall/2024/06/records-show-the-bureau-missed-reporting-deadlines-twice-at--1317,Records show the bureau missed reporting deadlines twice at Joint Office of Homeless Services,city_hall,"[""public_safety"", ""ranked_choice_voting""]",2024-06-08T15:10:27,2,1252,en,
1318,https://cascadetribune.com/business/2024/06/inside-the-mutual-aid-hardware-store-reshaping-northeast-por-1318,Inside the mutual-aid hardware store reshaping Northeast Portland,business,"[""layoffs"", ""openings_closings"", ""port_of_portland"", ""small_business""]",2024-06-08T10:25:53,20,513,en,
1319,https://cascadetribune.com/climate/2024/06/oregon-s-diesel-idling-reduction-rule-hits-halfway-mark-on-i-1319,Oregon's diesel idling reduction rule hits halfway mark on its emissions target,climate,"[""atmospheric_river"", ""climate_resilience"", ""fire_season""]",2024-06-08T10:13:58,16,1151,en,
1320,https://cascadetribune.com/housing/2024/06/eviction-filings-fall-in-the-pearl-as-growing-council-split-1320,Eviction filings fall in the Pearl as growing council split,housing,"[""city_council"", ""encampments"", ""rent_stabilization"", ""supportive_housing""]",2024-06-09T19:00:05,12,1556,en,
1321,https://cascadetribune.com/food_drink/2024/06/the-single-origin-pour-over-taking-over-east-portland-1321,The single-origin pour-over taking over East Portland,food_drink,"[""coffee_culture"", ""farmers_markets"", ""new_restaurants"", ""wine_country""]",2024-06-09T12:33:28,14,496,en,
1322,https://cascadetribune.com/opinion/2024/06/portland-needs-a-climate-plan-with-teeth-1322,Portland needs a climate plan with teeth,opinion,"[""decarbonization"", ""homelessness"", ""ranked_choice_voting""]",2024-06-09T08:07:41,8,1269,en,
1323,https://cascadetribune.com/business/2024/06/lam-research-consolidates-headquarters-staff-amid-ballot-pre-1323,Lam Research consolidates headquarters staff amid ballot pressure,business,"[""downtown"", ""port_of_portland""]",2024-06-09T16:59:47,20,624,en,
1324,https://cascadetribune.com/business/2024/06/why-cannabis-retail-is-consolidating-in-portland-1324,Why cannabis retail is consolidating in Portland,business,"[""downtown"", ""layoffs"", ""port_of_portland""]",2024-06-09T12:23:01,12,894,en,
1325,https://cascadetribune.com/food_drink/2024/06/why-honduran-espresso-is-back-on-portland-s-roasters-menus-1325,Why Honduran espresso is back on Portland's roasters' menus,food_drink,"[""coffee_culture"", ""farmers_markets"", ""new_restaurants""]",2024-06-10T13:54:33,17,544,en,
1326,https://cascadetribune.com/city_hall/2024/06/city-council-fast-tracks-the-public-records-request-backlog-1326,City Council fast-tracks the public records request backlog,city_hall,"[""clackamas_county"", ""public_safety""]",2024-06-10T20:00:52,21,1084,en,
1327,https://cascadetribune.com/transportation/2024/06/hawthorne-bridge-replacement-could-finally-start-in-2027-1327,Hawthorne Bridge replacement could finally start in 2027,transportation,"[""bridge_replacement"", ""downtown"", ""max_light_rail"", ""trimet""]",2024-06-10T09:42:36,22,602,en,
1328,https://cascadetribune.com/climate/2024/06/heat-wave-breaks-four-records-as-forecast-tightens-1328,Heat wave breaks four records as forecast tightens,climate,"[""decarbonization"", ""oregon_legislature""]",2024-06-10T09:48:34,3,1034,en,
1329,https://cascadetribune.com/city_hall/2024/06/portland-parks-recreation-budget-would-expand-transit-subsid-1329,Portland Parks & Recreation budget would expand transit subsidies,city_hall,"[""clackamas_county"", ""public_safety""]",2024-06-10T16:04:47,10,956,en,
1330,https://cascadetribune.com/culture/2024/06/y-la-bamba-returns-to-aladdin-theater-with-a-return-to-chamb-1330,Y La Bamba returns to Aladdin Theater with a return to chamber-pop form,culture,"[""indie_music"", ""museums""]",2024-06-10T12:21:29,14,662,en,
1331,https://cascadetribune.com/city_hall/2024/06/portland-bureau-of-transportation-budget-would-freeze-code-e-1331,Portland Bureau of Transportation budget would freeze code enforcement staffing,city_hall,"[""city_audit"", ""mayors_office""]",2024-06-10T06:12:48,2,1100,en,
